# timestamp tx ty tz qx qy qz qw
1.716292647705968857e+09 -9.094878196716308594e+00 -6.921344280242919922e+00 1.464673757553100586e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647756357908e+09 -9.123060226440429688e+00 -6.938817501068115234e+00 1.474694490432739258e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647806233644e+09 -9.150568962097167969e+00 -6.957160472869873047e+00 1.484818458557128906e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647906738281e+09 -9.198247909545898438e+00 -6.991919040679931641e+00 1.494848847389221191e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647956850767e+09 -9.223613739013671875e+00 -7.009749412536621094e+00 1.504210114479064941e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648007002831e+09 -9.268294334411619317e+00 -7.040113449096679688e+00 1.522844910621643066e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648057114840e+09 -9.288209915161132812e+00 -7.053512096405029297e+00 1.531918168067931907e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648157589912e+09 -9.324703216552734375e+00 -7.079792499542236328e+00 1.540926098823547363e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648207740068e+09 -9.357409477233888495e+00 -7.101048946380615234e+00 1.557411193847656250e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648257793903e+09 -9.372986793518066406e+00 -7.110205650329589844e+00 1.565570473670959695e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648358244419e+09 -9.398629188537597656e+00 -7.127597332000732422e+00 1.573441147804260476e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648408947945e+09 -9.418793678283691406e+00 -7.142174243927001953e+00 1.588210940361022949e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648458660841e+09 -9.426947593688964844e+00 -7.149506568908691406e+00 1.595918536186218484e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648559002161e+09 -9.440457344055175781e+00 -7.161365509033203125e+00 1.602925658226013184e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648609089613e+09 -9.447040557861328125e+00 -7.170658111572265625e+00 1.615693092346191406e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
